,Loss train,Loss test,R2 train,R2 test,MSE train,MSE test,MAPE train,MAPE test,MAE train,MAE test
1,5.0507856043677106e+23,1.5609008400310456e+23,-6.561559505636541e+21,-6.510745665610253e+21,1.5707772e+23,1.5609012e+23,20559530000.0,20602745000.0,307520830000.0,307173620000.0
2,4.170400533895328e+22,5.109303483024045e+21,-2.1576630826351293e+20,-2.1311650185959775e+20,5.165247e+21,5.109304e+21,2039118600.0,2001428500.0,30055483000.0,29556025000.0
3,2.1777488052112764e+21,9.876000394528172e+20,-4.00515797305115e+19,-4.119419829364319e+19,9.58798e+20,9.8759915e+20,1558215700.0,1555721200.0,18471606000.0,18491103000.0
4,7.300779278763911e+20,6.37681300553936e+20,-2.5748467300867166e+19,-2.6598593761558213e+19,6.1639466e+20,6.3768064e+20,1630877700.0,1632506600.0,18577674000.0,18661278000.0
5,5.8524004203647736e+20,5.864363918517872e+20,-2.374795757109937e+19,-2.446112463392788e+19,5.6850426e+20,5.8643654e+20,1665099000.0,1666515700.0,18846276000.0,18924110000.0
